"Joshua Bloch"|"jb@hotmail.com"|"9y5yV4*u3F6e5~p@@CNV"
"Guido van Rossum"|"guido@hotmail.com"|"*~uo08S84EO%ooPYM}sY"
"Peter Schmidt"|"ps@outlook.com"|"%cxZ6V%%ze3u|@HVOrd3"
"Hans Zimmer"|"hz@gmail.com"|"1iTuRdKQ~0gf5pB~YOP2"
"Angela Merkel"|"am@web.de"|"o9}j|*E8hbVerKHXf?PX"
"John Lennon"|"jl@gmail.com"|"UdI4$fZOOmfYBkItcYkf"
"Curt Cobain"|"cc@gmail.com"|"*S|Ef1q%q0{knqyjttc3"
"John Coltrane"|"jc@gmail.com"|""
"Mick Jagger"|"mick@stones.org"|"ye2uo2~|RBg875DNT*$9"
"Keith Richards"|"keith@stones.org"|"K*JgyKGX3c11i??juZKP"
"Steve Jobs"|"steve@apple.com"|""
"Linus Torvalds"|"boss@linux.org"|"SpJx9sEIhNKpP2HtEnEW"
"Jack Ma Yun"|"jack@ali.com"|"viPbAEctrPnNsf4aIuHj"
"Jimmy Choo"|"jimmychoo@gmailcom"|""
"Xí Jìnpíng"|""|"9YnCay7fnOBMDgxuHTLV"
"Barack Obama"|"barack@usa.gov"|"iqYSYto2EHJrifcLiDCm"
"Winnie-the-Pooh"|"winnie@mail.co.uk"|"MVxEZZz5uYKa4u9XKNT8"
"Bobby Charlton"|"bc@gmail.com"|"n3vNiwsdfA5cRoP53TK7"
"David Beckham"|"david@mail.co.uk"|"J602LoRH3zySpw0s0Dnb"
"Urban Müller"|""|"4cNeLTD1iHFhnk0FzqUm"
